date_id,currency_code,rate_to_usd
20220612,GBP,0.80401
20220612,JPY,133.95
20220612,USD,1
20220613,CAD,1.285
20220613,EUR,0.95648
20220613,GBP,0.82114
20220613,JPY,134.4
20220613,USD,1
20220614,CAD,1.2937
20220614,EUR,0.95675
20220614,GBP,0.82834
20220614,JPY,134.54
20220614,USD,1
20220615,CAD,1.294
20220615,EUR,0.95868
20220615,GBP,0.82761
20220615,JPY,134.69
20220615,USD,1
20220616,CAD,1.2929
20220616,EUR,0.96154
20220616,GBP,0.8226
20220616,JPY,132.92
20220616,USD,1
20220617,CAD,1.2999
20220617,EUR,0.95365
20220617,GBP,0.81537
20220617,JPY,134.67
20220617,USD,1
20220618,CAD,1.2999
20220618,EUR,0.95365
20220618,GBP,0.81537
20220618,JPY,134.67
20220618,USD,1
20220619,CAD,1.2999
20220619,EUR,0.95365
20220619,GBP,0.81537
20220619,JPY,134.67
20220619,USD,1
20220620,CAD,1.299
20220620,EUR,0.95084
20220620,GBP,0.81533
20220620,JPY,134.96
20220620,USD,1
20220621,CAD,1.2948
20220621,EUR,0.94787
20220621,GBP,0.81526
20220621,JPY,136.26
20220621,USD,1
20220622,CAD,1.2984
20220622,EUR,0.95048
20220622,GBP,0.81632
20220622,JPY,136.02
20220622,USD,1
20220623,CAD,1.2961
20220623,EUR,0.95302
20220623,GBP,0.81786
20220623,JPY,135.43
20220623,USD,1
20220624,CAD,1.2977
20220624,EUR,0.95021
20220624,GBP,0.81502
20220624,JPY,135.11
20220624,USD,1
20220625,CAD,1.2977
20220625,EUR,0.95021
20220625,GBP,0.81502
20220625,JPY,135.11
20220625,USD,1
20220626,CAD,1.2977
20220626,EUR,0.95021
20220626,GBP,0.81502
20220626,JPY,135.11
20220626,USD,1
20220627,CAD,1.2901
20220627,EUR,0.94589
20220627,GBP,0.81536
20220627,JPY,135.5
20220627,USD,1
20220628,CAD,1.2844
20220628,EUR,0.94688
20220628,GBP,0.81763
20220628,JPY,136.04
20220628,USD,1
20220629,CAD,1.2849
20220629,EUR,0.95084
20220629,GBP,0.82211
20220629,JPY,136.47
20220629,USD,1
20220630,CAD,1.2925
20220630,EUR,0.96274
20220630,GBP,0.82623
20220630,JPY,136.27
20220630,USD,1
20220701,CAD,1.2942
20220701,EUR,0.95923
20220701,GBP,0.83116
20220701,JPY,135.3
20220701,USD,1
20220702,CAD,1.2942
20220702,EUR,0.95923
20220702,GBP,0.83116
20220702,JPY,135.3
20220702,USD,1
20220703,CAD,1.2942
20220703,EUR,0.95923
20220703,GBP,0.83116
20220703,JPY,135.3
20220703,USD,1
20220704,CAD,1.285
20220704,EUR,0.95648
20220704,GBP,0.82219
20220704,JPY,135.35
20220704,USD,1
20220705,CAD,1.2987
20220705,EUR,0.97182
20220705,GBP,0.83426
20220705,JPY,135.83
20220705,USD,1
20220706,CAD,1.3043
20220706,EUR,0.98261
20220706,GBP,0.84186
20220706,JPY,135.31
20220706,USD,1
20220707,CAD,1.2993
20220707,EUR,0.98232
20220707,GBP,0.836
20220707,JPY,135.67
20220707,USD,1
20220708,CAD,1.2989
20220708,EUR,0.98396
20220708,GBP,0.83228
20220708,JPY,135.84
20220708,USD,1
20220709,CAD,1.2989
20220709,EUR,0.98396
20220709,GBP,0.83228
20220709,JPY,135.84
20220709,USD,1
20220710,CAD,1.2989
20220710,EUR,0.98396
20220710,GBP,0.83228
20220710,JPY,135.84
20220710,USD,1
20220711,CAD,1.3012
20220711,EUR,0.9903
20220711,GBP,0.8372
20220711,JPY,137.42
20220711,USD,1
20220712,CAD,1.3039
20220712,EUR,0.99582
20220712,GBP,0.84468
20220712,JPY,136.74
20220712,USD,1
20220713,CAD,1.2986
20220713,EUR,0.99334
20220713,GBP,0.83809
20220713,JPY,137.1
20220713,USD,1
20220714,CAD,1.3155
20220714,EUR,0.9995
20220714,GBP,0.84518
20220714,JPY,138.97
20220714,USD,1
20220715,CAD,1.307
20220715,EUR,0.99413
20220715,GBP,0.8449
20220715,JPY,138.67
20220715,USD,1
20220716,CAD,1.307
20220716,EUR,0.99413
20220716,GBP,0.8449
20220716,JPY,138.67
20220716,USD,1
20220717,CAD,1.307
20220717,EUR,0.99413
20220717,GBP,0.8449
20220717,JPY,138.67
20220717,USD,1
20220718,CAD,1.2981
20220718,EUR,0.98707
20220718,GBP,0.83613
20220718,JPY,138.35
20220718,USD,1
20220719,CAD,1.2947
20220719,EUR,0.97609
20220719,GBP,0.83263
20220719,JPY,137.64
20220719,USD,1
20220720,CAD,1.2876
20220720,EUR,0.98049
20220720,GBP,0.83516
20220720,JPY,138.17
20220720,USD,1
20220721,CAD,1.2921
20220721,EUR,0.98049
20220721,GBP,0.83876
20220721,JPY,138.7
20220721,USD,1
20220722,CAD,1.2861
20220722,EUR,0.98135
20220722,GBP,0.83553
20220722,JPY,136.91
20220722,USD,1
20220723,CAD,1.2861
20220723,EUR,0.98135
20220723,GBP,0.83553
20220723,JPY,136.91
20220723,USD,1
20220724,CAD,1.2861
20220724,EUR,0.98135
20220724,GBP,0.83553
20220724,JPY,136.91
20220724,USD,1
20220725,CAD,1.2864
20220725,EUR,0.97694
20220725,GBP,0.82858
20220725,JPY,136.62
20220725,USD,1
20220726,CAD,1.2875
20220726,EUR,0.98775
20220726,GBP,0.83522
20220726,JPY,136.66
20220726,USD,1
20220727,CAD,1.2854
20220727,EUR,0.98503
20220727,GBP,0.82878
20220727,JPY,136.81
20220727,USD,1
20220728,CAD,1.2829
20220728,EUR,0.98795
20220728,GBP,0.82579
20220728,JPY,135.61
20220728,USD,1
20220729,CAD,1.2846
20220729,EUR,0.98058
20220729,GBP,0.82359
20220729,JPY,133.77
20220729,USD,1
20220730,CAD,1.2846
20220730,EUR,0.98058
20220730,GBP,0.82359
20220730,JPY,133.77
20220730,USD,1
20220731,CAD,1.2846
20220731,EUR,0.98058
20220731,GBP,0.82359
20220731,JPY,133.77
20220731,USD,1
20220801,CAD,1.2778
20220801,EUR,0.97723
20220801,GBP,0.81794
20220801,JPY,132.3
20220801,USD,1
20220802,CAD,1.2862
20220802,EUR,0.97809
20220802,GBP,0.81832
20220802,JPY,130.97
20220802,USD,1
20220803,CAD,1.2836
20220803,EUR,0.98097
20220803,GBP,0.82037
20220803,JPY,133.59
20220803,USD,1
20220804,CAD,1.2838
20220804,EUR,0.98222
20220804,GBP,0.82734
20220804,JPY,133.4
20220804,USD,1
20220805,CAD,1.2885
20220805,EUR,0.97723
20220805,GBP,0.82349
20220805,JPY,133.12
20220805,USD,1
20220806,CAD,1.2885
